[17996,932839] [40013,942041]
[171963,166998] [193026,195040]
[193956,195999] [196068,222009]
[196024,222222] [178988,220968]
[193965,195985] [226063,203041]
[226968,203972] [239031,206133]
[226983,203009] [231146,187996]
[239877,206012] [251001,190948]
[251974,190226] [260009,189959]
[312022,144082] [274990,133932]
[274004,133606] [262977,135013]
[274998,133025] [288056,106996]
[288007,106174] [286996,105983]
[326044,276987] [290999,293044]
[463174,153020] [451919,115982]
[230003,841357] [190982,842047]
[190002,842010] [174933,819985]
[190099,842972] [177824,877014]
[76004,598050] [52948,565990]
[52044,565017] [36972,547978]
[36034,547022] [28982,543998]
[28944,543031] [39090,527996]
[39130,527008] [24978,511959]
[28024,543976] [15995,565043]
[15024,565993] [2955,585082]
[2985,585998] [16069,615006]
[375995,93039] [415018,85979]
[498074,970975] [468877,998001]
[749041,65041] [725996,31973]
[725962,31053] [751020,19893]
[751983,19893] [768022,22344]
[768891,22003] [772090,8976]
[772973,8067] [804039,6987]
[659927,498994] [687025,529046]
[687988,529984] [692049,532001]
[379016,955959] [338983,963085]
[338018,963025] [319967,958988]
[319017,958025] [289992,944960]
[319141,958985] [304996,990032]
[304967,990963] [307087,997001]
[304044,990988] [279994,996100]
[42106,310019] [22962,273988]
[22046,273053] [8948,262988]
[22904,273001] [32006,256876]
[986000,290003] [968989,251895]
[696044,824961] [679987,864072]
[113987,887002] [130016,846957]
[65944,65051] [96005,33936]
[96933,33011] [99070,23995]
[99940,23901] [109024,28036]
[99040,23010] [86999,18998]
[932992,953904] [969035,978000]
[969999,978055] [992009,959881]
[992932,959004] [995279,942978]
[995823,942000] [999027,899997]
[440033,383999] [408962,415011]
[408874,415972] [416064,452022]
[416004,452972] [409972,463020]
[409018,463861] [371995,466066]
[371041,466008] [354896,448971]
[354004,448784] [352985,448808]
[352007,448149] [351925,447990]
[62013,426045] [13989,412986]
[124994,941822] [172000,968002]
[172994,968998] [191033,973041]
[191763,973994] [192599,985008]
[192991,985748] [218023,991105]
[191965,973070] [217009,955977]
